      step              pe              ke             nhc           total               T               P
      4230   -0.229511E+03    0.131476E+02   -0.995889E+01   -0.226322E+03    0.136954E+00   -0.104778E+00
      4231   -0.229538E+03    0.131750E+02   -0.995348E+01   -0.226316E+03    0.137239E+00   -0.111493E+00
      4232   -0.229565E+03    0.132032E+02   -0.994788E+01   -0.226310E+03    0.137534E+00   -0.144092E+00
      4233   -0.229595E+03    0.132323E+02   -0.994209E+01   -0.226304E+03    0.137836E+00   -0.151077E+00
      4234   -0.229625E+03    0.132620E+02   -0.993611E+01   -0.226299E+03    0.138146E+00   -0.158055E+00
      4235   -0.229656E+03    0.132925E+02   -0.992993E+01   -0.226294E+03    0.138463E+00   -0.165018E+00
      4236   -0.229688E+03    0.133234E+02   -0.992356E+01   -0.226289E+03    0.138786E+00   -0.171958E+00
      4237   -0.229722E+03    0.133549E+02   -0.991699E+01   -0.226284E+03    0.139114E+00   -0.178867E+00
      4238   -0.229756E+03    0.133868E+02   -0.991021E+01   -0.226279E+03    0.139446E+00   -0.185739E+00
      4239   -0.229790E+03    0.134190E+02   -0.990323E+01   -0.226275E+03    0.139781E+00   -0.192564E+00
      4240   -0.229826E+03    0.134514E+02   -0.989604E+01   -0.226271E+03    0.140119E+00   -0.199337E+00
      4241   -0.229862E+03    0.134840E+02   -0.988863E+01   -0.226267E+03    0.140458E+00   -0.206048E+00
      4242   -0.229898E+03    0.135166E+02   -0.988102E+01   -0.226263E+03    0.140798E+00   -0.188975E+00
      4243   -0.229935E+03    0.135492E+02   -0.987319E+01   -0.226259E+03    0.141138E+00   -0.195724E+00
      4244   -0.229973E+03    0.135817E+02   -0.986513E+01   -0.226256E+03    0.141476E+00   -0.202399E+00
      4245   -0.230010E+03    0.136140E+02   -0.985686E+01   -0.226253E+03    0.141812E+00   -0.208994E+00
      4246   -0.230047E+03    0.136459E+02   -0.984836E+01   -0.226250E+03    0.142145E+00   -0.232237E+00
      4247   -0.230085E+03    0.136775E+02   -0.983964E+01   -0.226247E+03    0.142474E+00   -0.242009E+00
      4248   -0.230123E+03    0.137086E+02   -0.983068E+01   -0.226245E+03    0.142798E+00   -0.249608E+00
      4249   -0.230160E+03    0.137391E+02   -0.982150E+01   -0.226242E+03    0.143116E+00   -0.257091E+00
      4250   -0.230197E+03    0.137689E+02   -0.981208E+01   -0.226240E+03    0.143426E+00   -0.283855E+00
      4251   -0.230234E+03    0.137980E+02   -0.980242E+01   -0.226238E+03    0.143729E+00   -0.279232E+00
      4252   -0.230270E+03    0.138262E+02   -0.979253E+01   -0.226237E+03    0.144023E+00   -0.283808E+00
      4253   -0.230306E+03    0.138535E+02   -0.978240E+01   -0.226235E+03    0.144308E+00   -0.297486E+00
      4254   -0.230342E+03    0.138798E+02   -0.977203E+01   -0.226234E+03    0.144581E+00   -0.304342E+00
      4255   -0.230376E+03    0.139050E+02   -0.976141E+01   -0.226233E+03    0.144843E+00   -0.311022E+00
      4256   -0.230410E+03    0.139289E+02   -0.975055E+01   -0.226232E+03    0.145093E+00   -0.317518E+00
      4257   -0.230443E+03    0.139516E+02   -0.973945E+01   -0.226231E+03    0.145329E+00   -0.323825E+00
      4258   -0.230476E+03    0.139729E+02   -0.972810E+01   -0.226231E+03    0.145551E+00   -0.320506E+00
      4259   -0.230507E+03    0.139928E+02   -0.971650E+01   -0.226230E+03    0.145758E+00   -0.352085E+00
      4260   -0.230537E+03    0.140112E+02   -0.970466E+01   -0.226230E+03    0.145950E+00   -0.358208E+00
      4261   -0.230566E+03    0.140280E+02   -0.969257E+01   -0.226230E+03    0.146125E+00   -0.364110E+00
      4262   -0.230594E+03    0.140432E+02   -0.968023E+01   -0.226231E+03    0.146283E+00   -0.369787E+00
      4263   -0.230620E+03    0.140567E+02   -0.966764E+01   -0.226231E+03    0.146424E+00   -0.375235E+00
      4264   -0.230646E+03    0.140684E+02   -0.965480E+01   -0.226232E+03    0.146546E+00   -0.397134E+00
      4265   -0.230670E+03    0.140783E+02   -0.964172E+01   -0.226233E+03    0.146649E+00   -0.402525E+00
      4266   -0.230692E+03    0.140864E+02   -0.962839E+01   -0.226234E+03    0.146733E+00   -0.376939E+00
      4267   -0.230713E+03    0.140925E+02   -0.961482E+01   -0.226235E+03    0.146797E+00   -0.382354E+00
      4268   -0.230733E+03    0.140967E+02   -0.960100E+01   -0.226237E+03    0.146841E+00   -0.387524E+00
      4269   -0.230751E+03    0.140990E+02   -0.958694E+01   -0.226239E+03    0.146864E+00   -0.392447E+00
      4270   -0.230767E+03    0.140992E+02   -0.957263E+01   -0.226241E+03    0.146867E+00   -0.422340E+00
      4271   -0.230782E+03    0.140974E+02   -0.955809E+01   -0.226243E+03    0.146848E+00   -0.426904E+00
      4272   -0.230796E+03    0.140936E+02   -0.954331E+01   -0.226245E+03    0.146808E+00   -0.431193E+00
      4273   -0.230807E+03    0.140877E+02   -0.952830E+01   -0.226248E+03    0.146747E+00   -0.431141E+00
      4274   -0.230818E+03    0.140798E+02   -0.951306E+01   -0.226251E+03    0.146664E+00   -0.435208E+00
      4275   -0.230826E+03    0.140698E+02   -0.949759E+01   -0.226254E+03    0.146560E+00   -0.406009E+00
      4276   -0.230833E+03    0.140577E+02   -0.948189E+01   -0.226257E+03    0.146435E+00   -0.409141E+00
      4277   -0.230838E+03    0.140437E+02   -0.946597E+01   -0.226261E+03    0.146288E+00   -0.411998E+00
      4278   -0.230842E+03    0.140276E+02   -0.944983E+01   -0.226265E+03    0.146121E+00   -0.414577E+00
      4279   -0.230845E+03    0.140095E+02   -0.943347E+01   -0.226268E+03    0.145933E+00   -0.424768E+00
      4280   -0.230845E+03    0.139895E+02   -0.941691E+01   -0.226273E+03    0.145724E+00   -0.427648E+00
      4281   -0.230845E+03    0.139676E+02   -0.940014E+01   -0.226277E+03    0.145496E+00   -0.422402E+00
      4282   -0.230843E+03    0.139438E+02   -0.938316E+01   -0.226282E+03    0.145248E+00   -0.424657E+00
      4283   -0.230839E+03    0.139182E+02   -0.936599E+01   -0.226287E+03    0.144981E+00   -0.426643E+00
      4284   -0.230834E+03    0.138909E+02   -0.934862E+01   -0.226292E+03    0.144696E+00   -0.428359E+00
      4285   -0.230828E+03    0.138618E+02   -0.933106E+01   -0.226297E+03    0.144394E+00   -0.429806E+00
      4286   -0.230821E+03    0.138311E+02   -0.931332E+01   -0.226303E+03    0.144074E+00   -0.430984E+00
      4287   -0.230813E+03    0.137989E+02   -0.929540E+01   -0.226309E+03    0.143739E+00   -0.431895E+00
      4288   -0.230803E+03    0.137652E+02   -0.927730E+01   -0.226315E+03    0.143388E+00   -0.432540E+00
      4289   -0.230793E+03    0.137301E+02   -0.925903E+01   -0.226322E+03    0.143022E+00   -0.442405E+00
      4290   -0.230782E+03    0.136938E+02   -0.924060E+01   -0.226328E+03    0.142643E+00   -0.427629E+00
      4291   -0.230770E+03    0.136562E+02   -0.922201E+01   -0.226335E+03    0.142252E+00   -0.427442E+00
      4292   -0.230757E+03    0.136175E+02   -0.920326E+01   -0.226343E+03    0.141849E+00   -0.426993E+00
      4293   -0.230744E+03    0.135778E+02   -0.918436E+01   -0.226350E+03    0.141436E+00   -0.426286E+00
      4294   -0.230730E+03    0.135372E+02   -0.916531E+01   -0.226358E+03    0.141013E+00   -0.425322E+00
      4295   -0.230716E+03    0.134959E+02   -0.914612E+01   -0.226366E+03    0.140582E+00   -0.422789E+00
      4296   -0.230701E+03    0.134538E+02   -0.912679E+01   -0.226374E+03    0.140144E+00   -0.421221E+00
      4297   -0.230687E+03    0.134112E+02   -0.910734E+01   -0.226383E+03    0.139700E+00   -0.419405E+00
      4298   -0.230672E+03    0.133682E+02   -0.908775E+01   -0.226392E+03    0.139252E+00   -0.420971E+00
      4299   -0.230658E+03    0.133248E+02   -0.906804E+01   -0.226401E+03    0.138800E+00   -0.446105E+00
      4300   -0.230643E+03    0.132812E+02   -0.904821E+01   -0.226410E+03    0.138346E+00   -0.444035E+00
      4301   -0.230629E+03    0.132375E+02   -0.902827E+01   -0.226420E+03    0.137891E+00   -0.409819E+00
      4302   -0.230616E+03    0.131939E+02   -0.900821E+01   -0.226430E+03    0.137436E+00   -0.406725E+00
      4303   -0.230603E+03    0.131504E+02   -0.898805E+01   -0.226440E+03    0.136983E+00   -0.403405E+00
      4304   -0.230590E+03    0.131072E+02   -0.896777E+01   -0.226451E+03    0.136533E+00   -0.399862E+00
      4305   -0.230579E+03    0.130643E+02   -0.894740E+01   -0.226462E+03    0.136087E+00   -0.409585E+00
      4306   -0.230568E+03    0.130220E+02   -0.892693E+01   -0.226473E+03    0.135646E+00   -0.412342E+00
      4307   -0.230558E+03    0.129803E+02   -0.890636E+01   -0.226484E+03    0.135212E+00   -0.408409E+00
      4308   -0.230550E+03    0.129394E+02   -0.888570E+01   -0.226496E+03    0.134785E+00   -0.404258E+00
      4309   -0.230542E+03    0.128993E+02   -0.886494E+01   -0.226508E+03    0.134368E+00   -0.399892E+00
      4310   -0.230537E+03    0.128602E+02   -0.884410E+01   -0.226520E+03    0.133961E+00   -0.395315E+00
      4311   -0.230532E+03    0.128222E+02   -0.882316E+01   -0.226533E+03    0.133564E+00   -0.390530E+00
      4312   -0.230529E+03    0.127853E+02   -0.880214E+01   -0.226546E+03    0.133181E+00   -0.385543E+00
      4313   -0.230528E+03    0.127498E+02   -0.878103E+01   -0.226559E+03    0.132810E+00   -0.380357E+00
      4314   -0.230528E+03    0.127156E+02   -0.875984E+01   -0.226573E+03    0.132454E+00   -0.374976E+00
      4315   -0.230531E+03    0.126829E+02   -0.873856E+01   -0.226586E+03    0.132113E+00   -0.369404E+00
      4316   -0.230535E+03    0.126517E+02   -0.871719E+01   -0.226601E+03    0.131789E+00   -0.363646E+00
      4317   -0.230541E+03    0.126223E+02   -0.869574E+01   -0.226615E+03    0.131482E+00   -0.357706E+00
      4318   -0.230550E+03    0.125945E+02   -0.867420E+01   -0.226630E+03    0.131193E+00   -0.351587E+00
      4319   -0.230561E+03    0.125685E+02   -0.865258E+01   -0.226645E+03    0.130922E+00   -0.321938E+00
      4320   -0.230573E+03    0.125444E+02   -0.863087E+01   -0.226660E+03    0.130671E+00   -0.278346E+00
      4321   -0.230589E+03    0.125222E+02   -0.860907E+01   -0.226675E+03    0.130440E+00   -0.267744E+00
      4322   -0.230606E+03    0.125020E+02   -0.858717E+01   -0.226691E+03    0.130230E+00   -0.261022E+00
      4323   -0.230626E+03    0.124839E+02   -0.856519E+01   -0.226707E+03    0.130040E+00   -0.254181E+00
      4324   -0.230649E+03    0.124678E+02   -0.854311E+01   -0.226724E+03    0.129873E+00   -0.247224E+00
      4325   -0.230674E+03    0.124538E+02   -0.852093E+01   -0.226741E+03    0.129727E+00   -0.240155E+00
      4326   -0.230701E+03    0.124420E+02   -0.849865E+01   -0.226758E+03    0.129604E+00   -0.232979E+00
      4327   -0.230731E+03    0.124324E+02   -0.847627E+01   -0.226775E+03    0.129504E+00   -0.225700E+00
      4328   -0.230764E+03    0.124249E+02   -0.845378E+01   -0.226792E+03    0.129426E+00   -0.202169E+00
      4329   -0.230799E+03    0.124196E+02   -0.843119E+01   -0.226810E+03    0.129371E+00   -0.211182E+00
      4330   -0.230837E+03    0.124166E+02   -0.840848E+01   -0.226829E+03    0.129339E+00   -0.190546E+00
      4331   -0.230877E+03    0.124157E+02   -0.838565E+01   -0.226847E+03    0.129330E+00   -0.183808E+00
      4332   -0.230920E+03    0.124170E+02   -0.836271E+01   -0.226866E+03    0.129344E+00   -0.176981E+00
      4333   -0.230966E+03    0.124205E+02   -0.833964E+01   -0.226885E+03    0.129381E+00   -0.170068E+00
      4334   -0.231014E+03    0.124262E+02   -0.831644E+01   -0.226904E+03    0.129440E+00   -0.163072E+00
      4335   -0.231064E+03    0.124340E+02   -0.829311E+01   -0.226923E+03    0.129521E+00   -0.155996E+00
      4336   -0.231117E+03    0.124439E+02   -0.826965E+01   -0.226943E+03    0.129624E+00   -0.148844E+00
      4337   -0.231173E+03    0.124558E+02   -0.824604E+01   -0.226963E+03    0.129748E+00   -0.141619E+00
      4338   -0.231231E+03    0.124698E+02   -0.822228E+01   -0.226984E+03    0.129893E+00   -0.122509E+00
      4339   -0.231292E+03    0.124856E+02   -0.819838E+01   -0.227004E+03    0.130059E+00   -0.115379E+00
      4340   -0.231354E+03    0.125034E+02   -0.817432E+01   -0.227025E+03    0.130244E+00   -0.108191E+00
      4341   -0.231419E+03    0.125231E+02   -0.815010E+01   -0.227046E+03    0.130449E+00   -0.100950E+00
      4342   -0.231486E+03    0.125445E+02   -0.812571E+01   -0.227068E+03    0.130672E+00   -0.936567E-01
      4343   -0.231556E+03    0.125676E+02   -0.810116E+01   -0.227089E+03    0.130912E+00   -0.863150E-01
      4344   -0.231627E+03    0.125923E+02   -0.807643E+01   -0.227111E+03    0.131169E+00   -0.700136E-01
      4345   -0.231701E+03    0.126185E+02   -0.805152E+01   -0.227134E+03    0.131443E+00   -0.621321E-01
      4346   -0.231776E+03    0.126462E+02   -0.802643E+01   -0.227156E+03    0.131731E+00   -0.579044E-01
      4347   -0.231853E+03    0.126752E+02   -0.800114E+01   -0.227179E+03    0.132033E+00   -0.733164E-01
      4348   -0.231932E+03    0.127055E+02   -0.797567E+01   -0.227202E+03    0.132349E+00   -0.657489E-01
      4349   -0.232012E+03    0.127370E+02   -0.794999E+01   -0.227225E+03    0.132677E+00   -0.774247E-01
      4350   -0.232094E+03    0.127695E+02   -0.792411E+01   -0.227248E+03    0.133016E+00   -0.697095E-01
      4351   -0.232177E+03    0.128030E+02   -0.789803E+01   -0.227272E+03    0.133365E+00   -0.619521E-01
      4352   -0.232262E+03    0.128373E+02   -0.787173E+01   -0.227296E+03    0.133722E+00   -0.541548E-01
      4353   -0.232347E+03    0.128724E+02   -0.784522E+01   -0.227320E+03    0.134088E+00   -0.463200E-01
      4354   -0.232434E+03    0.129082E+02   -0.781848E+01   -0.227345E+03    0.134460E+00   -0.384500E-01
      4355   -0.232522E+03    0.129444E+02   -0.779152E+01   -0.227369E+03    0.134838E+00   -0.305470E-01
      4356   -0.232611E+03    0.129811E+02   -0.776434E+01   -0.227394E+03    0.135220E+00   -0.227920E-01
      4357   -0.232701E+03    0.130181E+02   -0.773692E+01   -0.227420E+03    0.135605E+00   -0.151323E-01
      4358   -0.232791E+03    0.130552E+02   -0.770927E+01   -0.227445E+03    0.135992E+00   -0.744580E-02
      4359   -0.232882E+03    0.130925E+02   -0.768137E+01   -0.227471E+03    0.136380E+00   -0.131555E-01
      4360   -0.232973E+03    0.131297E+02   -0.765324E+01   -0.227497E+03    0.136767E+00   -0.574052E-02
      4361   -0.233065E+03    0.131667E+02   -0.762487E+01   -0.227523E+03    0.137153E+00    0.170613E-02
      4362   -0.233157E+03    0.132035E+02   -0.759624E+01   -0.227549E+03    0.137536E+00    0.918254E-02
      4363   -0.233249E+03    0.132399E+02   -0.756737E+01   -0.227576E+03    0.137915E+00    0.166868E-01
      4364   -0.233341E+03    0.132758E+02   -0.753825E+01   -0.227603E+03    0.138289E+00    0.242171E-01
      4365   -0.233432E+03    0.133111E+02   -0.750887E+01   -0.227630E+03    0.138657E+00    0.317714E-01
      4366   -0.233524E+03    0.133456E+02   -0.747925E+01   -0.227658E+03    0.139017E+00    0.359116E-01
      4367   -0.233615E+03    0.133794E+02   -0.744936E+01   -0.227685E+03    0.139369E+00    0.430224E-01
      4368   -0.233706E+03    0.134122E+02   -0.741922E+01   -0.227713E+03    0.139711E+00    0.501569E-01
      4369   -0.233797E+03    0.134440E+02   -0.738882E+01   -0.227741E+03    0.140042E+00    0.573135E-01
      4370   -0.233886E+03    0.134747E+02   -0.735817E+01   -0.227770E+03    0.140362E+00    0.807336E-01
      4371   -0.233975E+03    0.135042E+02   -0.732726E+01   -0.227798E+03    0.140669E+00    0.880388E-01
      4372   -0.234064E+03    0.135323E+02   -0.729609E+01   -0.227827E+03    0.140962E+00    0.953504E-01
      4373   -0.234151E+03    0.135591E+02   -0.726467E+01   -0.227857E+03    0.141240E+00    0.102667E+00
      4374   -0.234237E+03    0.135843E+02   -0.723299E+01   -0.227886E+03    0.141503E+00    0.109986E+00
      4375   -0.234323E+03    0.136080E+02   -0.720106E+01   -0.227916E+03    0.141750E+00    0.117307E+00
      4376   -0.234407E+03    0.136300E+02   -0.716887E+01   -0.227946E+03    0.141979E+00    0.104663E+00
      4377   -0.234490E+03    0.136502E+02   -0.713644E+01   -0.227976E+03    0.142190E+00    0.126043E+00
      4378   -0.234571E+03    0.136687E+02   -0.710376E+01   -0.228006E+03    0.142382E+00    0.133111E+00
      4379   -0.234651E+03    0.136853E+02   -0.707083E+01   -0.228037E+03    0.142555E+00    0.140169E+00
      4380   -0.234730E+03    0.136999E+02   -0.703766E+01   -0.228068E+03    0.142707E+00    0.147216E+00
      4381   -0.234807E+03    0.137126E+02   -0.700426E+01   -0.228099E+03    0.142839E+00    0.176809E+00
      4382   -0.234883E+03    0.137232E+02   -0.697062E+01   -0.228131E+03    0.142950E+00    0.183967E+00
      4383   -0.234957E+03    0.137317E+02   -0.693675E+01   -0.228162E+03    0.143038E+00    0.191098E+00
      4384   -0.235030E+03    0.137380E+02   -0.690265E+01   -0.228195E+03    0.143104E+00    0.198201E+00
      4385   -0.235101E+03    0.137422E+02   -0.686833E+01   -0.228227E+03    0.143148E+00    0.241220E+00
      4386   -0.235170E+03    0.137441E+02   -0.683380E+01   -0.228259E+03    0.143168E+00    0.248589E+00
      4387   -0.235237E+03    0.137438E+02   -0.679905E+01   -0.228292E+03    0.143165E+00    0.255896E+00
      4388   -0.235303E+03    0.137412E+02   -0.676410E+01   -0.228326E+03    0.143138E+00    0.284014E+00
      4389   -0.235366E+03    0.137364E+02   -0.672895E+01   -0.228359E+03    0.143087E+00    0.291221E+00
      4390   -0.235428E+03    0.137292E+02   -0.669361E+01   -0.228393E+03    0.143012E+00    0.298347E+00
      4391   -0.235488E+03    0.137197E+02   -0.665808E+01   -0.228427E+03    0.142913E+00    0.305392E+00
      4392   -0.235547E+03    0.137079E+02   -0.662237E+01   -0.228461E+03    0.142790E+00    0.312352E+00
      4393   -0.235603E+03    0.136937E+02   -0.658649E+01   -0.228496E+03    0.142643E+00    0.319226E+00
      4394   -0.235658E+03    0.136772E+02   -0.655044E+01   -0.228531E+03    0.142471E+00    0.326012E+00
      4395   -0.235710E+03    0.136585E+02   -0.651423E+01   -0.228566E+03    0.142276E+00    0.351231E+00
      4396   -0.235761E+03    0.136374E+02   -0.647788E+01   -0.228602E+03    0.142056E+00    0.357923E+00
      4397   -0.235810E+03    0.136140E+02   -0.644138E+01   -0.228637E+03    0.141813E+00    0.364507E+00
      4398   -0.235857E+03    0.135885E+02   -0.640474E+01   -0.228674E+03    0.141546E+00    0.370979E+00
      4399   -0.235903E+03    0.135607E+02   -0.636798E+01   -0.228710E+03    0.141257E+00    0.381362E+00
      4400   -0.235946E+03    0.135307E+02   -0.633110E+01   -0.228747E+03    0.140945E+00    0.387544E+00
      4401   -0.235989E+03    0.134986E+02   -0.629412E+01   -0.228784E+03    0.140610E+00    0.380384E+00
      4402   -0.236029E+03    0.134643E+02   -0.625703E+01   -0.228822E+03    0.140254E+00    0.386686E+00
      4403   -0.236068E+03    0.134281E+02   -0.621984E+01   -0.228859E+03    0.139876E+00    0.392877E+00
      4404   -0.236105E+03    0.133898E+02   -0.618257E+01   -0.228897E+03    0.139478E+00    0.426181E+00
      4405   -0.236140E+03    0.133497E+02   -0.614523E+01   -0.228936E+03    0.139059E+00    0.431470E+00
      4406   -0.236175E+03    0.133076E+02   -0.610782E+01   -0.228975E+03    0.138621E+00    0.436622E+00
      4407   -0.236207E+03    0.132637E+02   -0.607035E+01   -0.229014E+03    0.138164E+00    0.441636E+00
      4408   -0.236239E+03    0.132181E+02   -0.603283E+01   -0.229053E+03    0.137689E+00    0.446507E+00
      4409   -0.236269E+03    0.131709E+02   -0.599527E+01   -0.229093E+03    0.137197E+00    0.451233E+00
      4410   -0.236298E+03    0.131220E+02   -0.595768E+01   -0.229133E+03    0.136688E+00    0.455811E+00
      4411   -0.236326E+03    0.130717E+02   -0.592006E+01   -0.229174E+03    0.136164E+00    0.460238E+00
      4412   -0.236352E+03    0.130199E+02   -0.588242E+01   -0.229215E+03    0.135624E+00    0.482694E+00
      4413   -0.236378E+03    0.129668E+02   -0.584478E+01   -0.229256E+03    0.135071E+00    0.486669E+00
      4414   -0.236403E+03    0.129125E+02   -0.580714E+01   -0.229298E+03    0.134505E+00    0.490470E+00
      4415   -0.236427E+03    0.128570E+02   -0.576950E+01   -0.229340E+03    0.133927E+00    0.494094E+00
      4416   -0.236451E+03    0.128005E+02   -0.573188E+01   -0.229382E+03    0.133338E+00    0.524708E+00
      4417   -0.236474E+03    0.127429E+02   -0.569428E+01   -0.229425E+03    0.132739E+00    0.484621E+00
      4418   -0.236496E+03    0.126846E+02   -0.565672E+01   -0.229468E+03    0.132131E+00    0.486424E+00
      4419   -0.236518E+03    0.126254E+02   -0.561918E+01   -0.229511E+03    0.131515E+00    0.497638E+00
      4420   -0.236539E+03    0.125656E+02   -0.558169E+01   -0.229555E+03    0.130892E+00    0.479588E+00
      4421   -0.236560E+03    0.125053E+02   -0.554425E+01   -0.229599E+03    0.130263E+00    0.479255E+00
      4422   -0.236581E+03    0.124445E+02   -0.550687E+01   -0.229644E+03    0.129630E+00    0.478752E+00
      4423   -0.236603E+03    0.123833E+02   -0.546955E+01   -0.229689E+03    0.128993E+00    0.478078E+00
      4424   -0.236624E+03    0.123219E+02   -0.543229E+01   -0.229734E+03    0.128353E+00    0.477230E+00
      4425   -0.236645E+03    0.122603E+02   -0.539510E+01   -0.229780E+03    0.127712E+00    0.456820E+00
      4426   -0.236666E+03    0.121987E+02   -0.535799E+01   -0.229826E+03    0.127070E+00    0.445521E+00
      4427   -0.236688E+03    0.121372E+02   -0.532097E+01   -0.229872E+03    0.126429E+00    0.444086E+00
      4428   -0.236711E+03    0.120758E+02   -0.528402E+01   -0.229919E+03    0.125790E+00    0.442486E+00
      4429   -0.236734E+03    0.120148E+02   -0.524717E+01   -0.229966E+03    0.125154E+00    0.448513E+00
      4430   -0.236757E+03    0.119541E+02   -0.521040E+01   -0.230013E+03    0.124521E+00    0.446712E+00
      4431   -0.236781E+03    0.118938E+02   -0.517373E+01   -0.230061E+03    0.123894E+00    0.418929E+00
      4432   -0.236806E+03    0.118342E+02   -0.513716E+01   -0.230109E+03    0.123273E+00    0.415729E+00
      4433   -0.236833E+03    0.117752E+02   -0.510068E+01   -0.230158E+03    0.122658E+00    0.412366E+00
      4434   -0.236860E+03    0.117170E+02   -0.506431E+01   -0.230207E+03    0.122052E+00    0.403541E+00
      4435   -0.236888E+03    0.116596E+02   -0.502804E+01   -0.230256E+03    0.121454E+00    0.399414E+00
      4436   -0.236917E+03    0.116032E+02   -0.499187E+01   -0.230306E+03    0.120867E+00    0.395324E+00
      4437   -0.236948E+03    0.115478E+02   -0.495580E+01   -0.230356E+03    0.120290E+00    0.391074E+00
      4438   -0.236980E+03    0.114936E+02   -0.491984E+01   -0.230406E+03    0.119725E+00    0.363854E+00
      4439   -0.237013E+03    0.114405E+02   -0.488398E+01   -0.230457E+03    0.119172E+00    0.359676E+00
      4440   -0.237048E+03    0.113887E+02   -0.484822E+01   -0.230508E+03    0.118633E+00    0.355351E+00
      4441   -0.237085E+03    0.113383E+02   -0.481257E+01   -0.230559E+03    0.118107E+00    0.372459E+00
      4442   -0.237123E+03    0.112893E+02   -0.477702E+01   -0.230611E+03    0.117597E+00    0.367397E+00
      4443   -0.237163E+03    0.112418E+02   -0.474156E+01   -0.230663E+03    0.117102E+00    0.362169E+00
      4444   -0.237205E+03    0.111959E+02   -0.470621E+01   -0.230715E+03    0.116624E+00    0.356777E+00
      4445   -0.237249E+03    0.111516E+02   -0.467094E+01   -0.230768E+03    0.116162E+00    0.351218E+00
      4446   -0.237294E+03    0.111089E+02   -0.463577E+01   -0.230821E+03    0.115718E+00    0.352861E+00
      4447   -0.237342E+03    0.110680E+02   -0.460069E+01   -0.230874E+03    0.115291E+00    0.368866E+00
      4448   -0.237391E+03    0.110288E+02   -0.456570E+01   -0.230928E+03    0.114883E+00    0.362035E+00
      4449   -0.237443E+03    0.109914E+02   -0.453079E+01   -0.230982E+03    0.114494E+00    0.355017E+00
      4450   -0.237496E+03    0.109559E+02   -0.449596E+01   -0.231036E+03    0.114124E+00    0.347814E+00
      4451   -0.237552E+03    0.109223E+02   -0.446121E+01   -0.231091E+03    0.113774E+00    0.340425E+00
      4452   -0.237609E+03    0.108905E+02   -0.442652E+01   -0.231145E+03    0.113443E+00    0.332852E+00
      4453   -0.237669E+03    0.108607E+02   -0.439191E+01   -0.231201E+03    0.113132E+00    0.325097E+00
      4454   -0.237731E+03    0.108328E+02   -0.435735E+01   -0.231256E+03    0.112842E+00    0.317160E+00
      4455   -0.237796E+03    0.108069E+02   -0.432286E+01   -0.231312E+03    0.112572E+00    0.298769E+00
      4456   -0.237862E+03    0.107830E+02   -0.428841E+01   -0.231368E+03    0.112323E+00    0.290612E+00
      4457   -0.237931E+03    0.107610E+02   -0.425402E+01   -0.231424E+03    0.112094E+00    0.282281E+00
      4458   -0.238001E+03    0.107410E+02   -0.421967E+01   -0.231480E+03    0.111885E+00    0.273777E+00
      4459   -0.238074E+03    0.107229E+02   -0.418535E+01   -0.231537E+03    0.111697E+00    0.265104E+00
      4460   -0.238150E+03    0.107068E+02   -0.415107E+01   -0.231594E+03    0.111529E+00    0.256265E+00
      4461   -0.238227E+03    0.106926E+02   -0.411682E+01   -0.231651E+03    0.111381E+00    0.247263E+00
      4462   -0.238306E+03    0.106803E+02   -0.408259E+01   -0.231709E+03    0.111253E+00    0.238103E+00
      4463   -0.238388E+03    0.106698E+02   -0.404838E+01   -0.231766E+03    0.111144E+00    0.228789E+00
      4464   -0.238471E+03    0.106613E+02   -0.401417E+01   -0.231824E+03    0.111055E+00    0.214572E+00
      4465   -0.238557E+03    0.106545E+02   -0.397997E+01   -0.231882E+03    0.110985E+00    0.204790E+00
      4466   -0.238645E+03    0.106496E+02   -0.394578E+01   -0.231941E+03    0.110933E+00    0.203209E+00
      4467   -0.238734E+03    0.106463E+02   -0.391157E+01   -0.231999E+03    0.110899E+00    0.193314E+00
      4468   -0.238826E+03    0.106448E+02   -0.387736E+01   -0.232058E+03    0.110883E+00    0.183288E+00
      4469   -0.238919E+03    0.106449E+02   -0.384313E+01   -0.232117E+03    0.110884E+00    0.173137E+00
      4470   -0.239014E+03    0.106466E+02   -0.380888E+01   -0.232176E+03    0.110902E+00    0.141941E+00
      4471   -0.239111E+03    0.106498E+02   -0.377460E+01   -0.232236E+03    0.110935E+00    0.103367E+00
      4472   -0.239210E+03    0.106544E+02   -0.374030E+01   -0.232295E+03    0.110984E+00    0.106113E+00
      4473   -0.239310E+03    0.106605E+02   -0.370595E+01   -0.232355E+03    0.111047E+00    0.951418E-01
      4474   -0.239412E+03    0.106679E+02   -0.367157E+01   -0.232415E+03    0.111124E+00    0.840953E-01
      4475   -0.239515E+03    0.106766E+02   -0.363714E+01   -0.232475E+03    0.111214E+00    0.728265E-01
      4476   -0.239619E+03    0.106865E+02   -0.360266E+01   -0.232536E+03    0.111317E+00    0.614432E-01
      4477   -0.239725E+03    0.106974E+02   -0.356813E+01   -0.232596E+03    0.111432E+00    0.500110E-01
      4478   -0.239833E+03    0.107095E+02   -0.353353E+01   -0.232657E+03    0.111557E+00    0.351031E-01
      4479   -0.239941E+03    0.107224E+02   -0.349888E+01   -0.232718E+03    0.111692E+00    0.372329E-01
      4480   -0.240051E+03    0.107363E+02   -0.346416E+01   -0.232779E+03    0.111837E+00    0.260687E-01
